frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth
136,3,Unknown,0.0,21.535873413085938,frontal,0.7,False,0,0,
136,1,myke,0.8183566700008342,29.207468032836914,profile,0.5,True,10,24,
138,4,Unknown,0.0,53.01713943481445,partial_back,0.5,False,28,36,
138,3,Unknown,0.0,35.36653518676758,frontal,0.7,False,0,0,
138,1,myke,0.8208878958101509,30.99656105041504,back_view,0.7,True,11,26,
140,4,Unknown,0.0,28.437376022338867,back_view,0.8999999999999999,False,29,38,
140,3,Unknown,0.0,26.09705924987793,profile,0.5,False,0,0,
142,4,Unknown,0.0,36.928415298461914,back_view,0.8999999999999999,False,30,40,
142,3,Unknown,0.0,25.203704833984375,profile,0.5,False,0,0,
144,4,Unknown,0.0,29.536724090576172,back_view,0.8999999999999999,False,31,42,
144,3,Unknown,0.0,23.902177810668945,profile,0.5,False,0,0,
146,4,Unknown,0.0,31.655550003051758,back_view,0.8999999999999999,False,32,44,
146,3,Unknown,0.0,18.20993423461914,profile,0.5,False,0,0,
148,4,Unknown,0.0,32.94181823730469,partial_back,0.5,False,33,46,
148,3,Unknown,0.0,16.818523406982422,profile,0.5,False,0,0,
148,7,Unknown,0.0,37.18757629394531,partial_back,0.5,False,1,0,
150,4,Unknown,0.0,25.381088256835938,partial_back,0.5,False,34,48,
150,3,Unknown,0.0,21.446943283081055,profile,0.5,False,0,0,
150,7,Unknown,0.0,34.744977951049805,partial_back,0.5,False,2,0,
152,4,Unknown,0.0,40.62223434448242,partial_back,0.5,False,35,50,
152,3,Unknown,0.0,15.385150909423828,profile,0.5,False,0,0,
152,7,Unknown,0.0,39.02411460876465,partial_back,0.5,False,3,0,
154,4,Unknown,0.0,34.3778133392334,back_view,0.8999999999999999,False,36,52,
154,3,Unknown,0.0,16.708850860595703,frontal,0.7,False,0,0,
154,7,Unknown,0.0,33.13016891479492,partial_back,0.5,False,4,0,
156,4,Unknown,0.0,63.33494186401367,back_view,0.8999999999999999,False,37,54,
156,3,Unknown,0.0,11.576175689697266,partial_back,0.5,False,1,0,
156,7,Unknown,0.0,35.29024124145508,partial_back,0.5,False,5,0,
158,4,Unknown,0.0,39.70980644226074,back_view,0.8999999999999999,False,38,56,
158,3,Unknown,0.0,19.706010818481445,partial_back,0.5,False,2,0,
158,7,Unknown,0.0,36.08417510986328,partial_back,0.5,False,6,0,
160,4,Unknown,0.0,34.57808494567871,back_view,0.8999999999999999,False,39,58,
160,3,Unknown,0.0,18.5091495513916,partial_back,0.5,False,3,0,
160,7,Unknown,0.0,32.59754180908203,profile,0.5,False,0,0,
162,4,Unknown,0.0,35.39395332336426,back_view,0.8999999999999999,False,40,60,
162,3,Unknown,0.0,12.865781784057617,partial_back,0.5,False,4,0,
162,7,Unknown,0.0,34.95526313781738,back_view,0.8999999999999999,False,1,0,
