frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames
1080,3,myke,0.846933869209489,0.0,frontal,0.7,True,0
1085,3,myke,0.84524000147107,0.0,frontal,0.7,True,0
1090,3,myke,0.8435495214681279,0.0,frontal,0.7,True,0
1095,3,myke,0.8418624224251916,0.0,frontal,0.7,True,0
1100,3,myke,0.8401786975803412,0.0,frontal,0.7,True,0
1105,3,myke,0.8401786975803412,260.4410648345947,frontal,0.7,True,0
1110,3,myke,0.8384983401851805,0.0,frontal,0.7,True,0
1115,3,myke,0.8368213435048102,0.0,frontal,0.7,True,0
1120,3,myke,0.8351477008178005,0.0,frontal,0.7,True,0
1125,3,myke,0.8334774054161649,0.0,frontal,0.7,True,0
1130,3,myke,0.8318104506053325,0.0,frontal,0.7,True,0
1135,3,myke,0.8318104506053325,256.6096782684326,frontal,0.7,True,0
1140,3,myke,0.8301468297041219,0.0,frontal,0.7,True,0
1145,3,myke,0.8284865360447137,0.0,frontal,0.7,True,0
1150,3,myke,0.8268295629726242,0.0,frontal,0.7,True,0
1155,3,myke,0.8251759038466789,0.0,frontal,0.7,True,0
1160,3,myke,0.8235255520389856,0.0,frontal,0.7,True,0
1165,3,myke,0.8218785009349077,501.65271759033203,frontal,0.7,True,0
1170,3,myke,0.8202347439330379,0.0,frontal,0.7,True,0
1175,3,myke,0.8185942744451717,0.0,frontal,0.7,True,0
1180,3,myke,0.8169570858962814,0.0,frontal,0.7,True,0
1185,3,myke,0.8153231717244888,0.0,frontal,0.7,True,0
1190,3,myke,0.8136925253810398,0.0,frontal,0.7,True,0
1195,3,myke,0.8120651403302777,499.9732971191406,frontal,0.7,True,0
1200,3,myke,0.8104410100496171,0.0,frontal,0.7,True,0
1205,3,myke,0.8088201280295179,0.0,frontal,0.7,True,0
1210,3,myke,0.8072024877734588,0.0,frontal,0.7,True,0
1215,3,myke,0.8055880827979119,0.0,frontal,0.7,True,0
1220,3,myke,0.8039769066323161,0.0,frontal,0.7,True,0
1225,3,myke,0.8023689528190515,529.1588306427002,frontal,0.7,True,0
1230,3,myke,0.8007642149134134,0.0,frontal,0.7,True,0
1235,3,myke,0.7991626864835866,0.0,frontal,0.7,True,0
1240,3,myke,0.7975643611106193,0.0,frontal,0.7,True,0
1245,3,myke,0.7959692323883981,0.0,frontal,0.7,True,0
1250,3,myke,0.7943772939236213,0.0,frontal,0.7,True,0
1255,3,myke,0.7927885393357741,569.6752071380615,frontal,0.7,True,0
1260,3,myke,0.7912029622571025,0.0,frontal,0.7,True,0
1265,3,myke,0.7896205563325883,0.0,frontal,0.7,True,0
1270,3,myke,0.7880413152199232,0.0,frontal,0.7,True,0
1275,3,myke,0.7864652325894833,0.0,frontal,0.7,True,0
